movie_id;recom
44357;['Seasons', 'The Four Seasons', 'Three Seasons', 'Man of the Year', 'The Man of the Year']
43337;"['Bio-Dome', ""A Day's Pleasure"", 'The Pleasure Garden', 'Pleasure Factory', 'Pleasure Cruise']"
282084;"['Doug Stanhope: No Place Like Home', ""There's No Tomorrow"", 'No Place on Earth', 'Road to Utopia', 'Plastic Utopia']"
17824;"['Last Resort', 'Private', 'Hot Resort', 'Wrong Turn 6: Last Resort', ""National Lampoon's Last Resort""]"
59115;['Terminal', 'The Terminal Man', 'Terminal Island', 'Terminal Justice', 'Terminal USA']
144792;"['Seasons of the Year', 'Inauguration of the Pleasure Dome', ""There's No Place Like Utopia"", 'Private Resort', 'Quarantine 2: Terminal']"
155852;['The Moth Diaries', 'The V.I.P.s', 'The U', 'The We and the I', 'The World, the Flesh and the Devil']
84951;['The Temptress', 'Witchcraft', 'Temptress Moon', 'Hansel & Gretel: Warriors of Witchcraft', 'The Legend II']
380841;"['Seasons of the Year', 'Inauguration of the Pleasure Dome', ""There's No Place Like Utopia"", 'Private Resort', 'Quarantine 2: Terminal']"
18658;['Clean Hands', 'With Clean Hands', 'Clean, Shaven', 'Seasons of the Year', 'Inauguration of the Pleasure Dome']
30142;"['The Story of Vernon and Irene Castle', 'Behind the Mask: The Rise of Leslie Vernon', 'Seasons of the Year', 'Inauguration of the Pleasure Dome', ""There's No Place Like Utopia""]"
49849;['Aliens', 'The Cowboys', 'Aliens of the Deep', 'Space Cowboys', 'Mutant Aliens']
861;['Total Recall', 'Total Western', 'Total Eclipse', 'Spawn: The Recall', 'Uncle Boonmee Who Can Recall His Past Lives']
225958;['The Walk', 'The Proud Princess', 'The Land', 'The Proud Valley', 'The Proud and the Beautiful']
17993;['June', 'Henry V', 'Henry V', 'Henry', 'June Night']
19350;['Knights', 'The White Knights', 'The Hollywood Knights', 'Shanghai Knights', 'Knights of Badassdom']
242262;['La felicità è un sistema complesso', 'La La Land', 'General Della Rovere', 'I due della legione', 'Il medico della mutua']
18375;['The Stranger', 'The Stranger', 'The Stranger', 'The Stranger', 'The Stranger']
25571;['Drive Hard', 'Drive Angry', 'Drive Me Crazy', 'Dead End Drive-In', 'Adrenaline Drive']
33125;['The Border', 'Border Run', 'Beyond the Border', 'Border Radio', 'In the Border States']
293796;['Reckless', 'Born Reckless', 'Born Reckless', 'Wet Dreams', 'The Reckless Moment']
